trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,30.464642540999648,,30.442503332999877,10,30.464642540999648,30.464642540999648,0.015022582999790757,32.89760654099973,[-0.12166666666666667],[0.04833333333333333],[1],[0],[0],[2.440476750000016],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
21,0,21,0,32.921713457999886,,32.89982916599956,10,32.921713457999886,32.921713457999886,0.01480791699987094,35.46435437499986,[0.32666666666666666],[-0.385],[1],[0],[0],[2.5500967910002146],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
22,0,22,0,35.48845874999961,,35.46658787499973,10,35.48845874999961,35.48845874999961,0.015011708999736584,38.88113533299975,[-0.3333333333333333],[0.2],[1],[0],[0],[3.3998809160002565],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
23,0,23,0,38.90510662499992,,38.88333924999961,10,38.90510662499992,38.90510662499992,0.014947708000363491,41.00698158299974,[0.016666666666666666],[0.02],[1],[0],[0],[2.1090474160000667],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
24,0,24,0,41.02168533299982,,41.00916133299961,5,41.02168533299982,41.02168533299982,0.0076730410000891425,43.05707412499987,[0.21166666666666667],[0.28833333333333333],[1],[0],[0],[2.040578249999726],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
25,0,25,0,43.07231779099993,,43.05940062499985,5,43.07231779099993,43.07231779099993,0.008133625000027678,45.496694790999754,[0.4633333333333333],[-0.4216666666666667],[1],[0],[0],[2.4295392079998237],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
26,0,26,0,45.51204116599956,,45.499007207999966,5,45.51204116599956,45.51204116599956,0.008125374999963242,47.196650040999884,[0.4266666666666667],[-0.235],[1],[0],[0],[1.6898623749998478],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
27,0,27,0,47.21221324999988,,47.198977790999834,5,47.21221324999988,47.21221324999988,0.008207083999877796,48.8464738749999,[-0.3616666666666667],[0.185],[1],[0],[0],[1.6396472080000422],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
28,0,28,0,48.86193566599968,,48.848864624999806,5,48.86193566599968,48.86193566599968,0.008110082999792212,50.306737832999715,[-0.07],[0.025],[1],[0],[0],[1.4501700830001027],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
29,0,29,0,50.33098237499962,,50.3090791249997,10,50.33098237499962,50.33098237499962,0.01494712499970774,52.29000145799955,[0.49],[-0.25],[1],[0],[0],[1.966328459000124],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
