trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
83,0,83,0,147.67059937500017,,147.66487825000013,147.67059937500017,148.65961608400016,148.65961608400016,149.51253370900008,down,1,0.8473466250000001,None,2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
84,0,84,0,149.5197901250001,,149.5142423750001,149.5197901250001,150.50981250000018,150.50981250000018,151.357044375,up,1,0.8454767919999995,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
85,0,85,0,151.36415050000005,,151.35875837499998,151.36415050000005,152.35419079200005,152.36014308400013,153.29026658400016,up,1,0.9347379169998931,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
86,0,86,0,153.29698837500018,,153.29199483399998,153.29698837500018,154.28733158400019,154.29322283400006,154.82994533400006,down,1,0.5357679159999407,None,-4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
87,0,87,0,154.83681441700014,,154.83156220900014,154.83681441700014,155.82645758400008,155.82645758400008,156.61300875000006,down,1,0.7832422920000681,None,4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
88,0,88,0,156.62007570900005,,156.61473516700016,156.62007570900005,157.6100590420001,157.6100590420001,158.540589125,down,1,0.9230605420000302,None,-3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
89,0,89,0,158.54758016699998,,158.54234129200017,158.54758016699998,159.53723166700001,159.54329795900003,160.1570468750001,down,1,0.6096753750000516,None,-5,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
90,0,90,0,160.16393949999997,,160.1587058340001,160.16393949999997,161.153946292,161.15992462500003,161.75703712500012,down,1,0.5986587920001512,None,3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
91,0,91,0,161.76407712500009,,161.758766959,161.76407712500009,162.75395912500016,162.76029700000004,163.55689154200013,down,1,0.7938277499999913,None,3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
92,0,92,0,163.5639355840001,,163.55860066700006,163.5639355840001,164.55415104200006,164.55998525000018,165.57401000000004,down,0,1.0178950830002123,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
93,0,93,0,165.58109420900018,,165.57572612500007,165.58109420900018,166.57051704200012,166.57644783399996,167.50701429200012,up,1,0.9350509999999304,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
94,0,94,0,167.5140220840001,,167.508711167,167.5140220840001,168.50401683400014,168.50996091700017,169.563101167,up,1,1.057800916000133,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
95,0,95,0,169.56984287500018,,169.56484195899998,169.56984287500018,170.5596337920001,170.5596337920001,171.02364487500017,down,1,0.4549000839999735,None,4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
96,0,96,0,171.029051084,,171.02518166699997,171.029051084,172.02068016700014,172.02663962500014,172.92346358400005,down,1,0.9015461670001059,None,-4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
97,0,97,0,172.92889887499996,,172.92500762500003,172.92889887499996,173.92056575000015,173.92641870900002,174.9790458750001,down,1,1.0542101250000542,None,-4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
98,0,98,0,174.98632733400018,,174.98067462500012,174.98632733400018,175.97633762500004,175.97633762500004,176.79570587500007,up,1,0.818289625000034,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
99,0,99,0,176.80294100000015,,176.79724775,176.80294100000015,177.7931356250001,177.7931356250001,178.62917704200004,up,0,0.8327937500000644,None,-2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
